id,data_reclamacao,canal,texto_reclamacao,produto,status
REC-2026-00205,2026-02-10,Redes Sociais,"nao consigo acessar minha fatura pelo app, da erro sempre. arrumem logo.",Cartão de Crédito,Aberta
REC-2026-00206,2026-01-04,SAC,"nao consigo acessar minha fatura pelo app, da erro sempre. arrumem logo.",Cartão de Crédito,Aberta
REC-2026-00207,2026-02-02,Banco Central,"O pix que eu fiz nao caiu na conta do recebedor, sumiu meu dinheiro!",Conta Corrente,Resolvida
REC-2026-00208,2026-01-15,SAC,Transferencia TED voltou e me cobraram a taxa msm assim. Absurdo.,Conta Corrente,Resolvida
REC-2026-00209,2025-12-19,Banco Central,Fui resgatar meu fundo de investimento e o dinheiro sumiu. Onde foi parar???,Investimentos,Resolvida
REC-2026-00210,2026-03-02,Ouvidoria,solicitei um aumento de limite e até agora nenhuma resposta. péssimo serviço.,Cartão de Crédito,Resolvida
REC-2026-00211,2025-12-13,Banco Central,"Meu cartao foi clonado!!! Fizeram uma compra em dolar que nao reconheco, bloqueiem isso urgente.",Cartão de Crédito,Em análise
REC-2026-00212,2025-12-11,Redes Sociais,"Fiz uma compra ontem mas me arrependi, como faço pra estornar no cartão?",Cartão de Crédito,Em análise
REC-2026-00213,2026-01-23,Ouvidoria,solicitei um aumento de limite e até agora nenhuma resposta. péssimo serviço.,Cartão de Crédito,Em análise
REC-2026-00214,2026-01-23,Redes Sociais,Transferencia TED voltou e me cobraram a taxa msm assim. Absurdo.,Conta Corrente,Resolvida
REC-2026-00215,2026-01-08,SAC,"A taxa de anuidade veio absurda, quero cancelar meu cartao de credito.",Cartão de Crédito,Aberta
REC-2026-00216,2026-01-14,SAC,Cobrança de tarifa de manutenção de conta que eu nao contratei. Exijo estorno.,Conta Corrente,Em análise
REC-2026-00217,2026-02-12,SAC,como cancelo a renovação automática do seguro prestamista?,Seguros,Resolvida
REC-2026-00218,2026-02-07,Ouvidoria,"O cartao fisico ainda nao chegou na minha casa, ja faz 1 mes.",Cartão de Crédito,Em análise
REC-2026-00219,2026-03-30,Redes Sociais,Solicitei um aumento de limite e até agora nenhuma resposta. PÉSSIMO serviço.,Cartão de Crédito,Aberta
REC-2026-00220,2025-12-10,SAC,"home broker travou bem na hora que eu ia vender as ações, tive prejuízo!!!",Investimentos,Em análise
REC-2026-00221,2026-01-20,Ouvidoria,"Minha senha foi bloqueada e eu to no exterior, que inferno de banco!!",,Em análise
REC-2026-00222,2025-12-18,Redes Sociais,"Quero antecipar as parcelas do meu emprestimo mas o sac nao me atende, fico horas na linha.",Empréstimo,Resolvida
REC-2026-00223,2026-03-09,SAC,"Meu saldo tá negativo mas eu não usei o cheque especial, da uma olhada ai.",Conta Corrente,Resolvida
REC-2026-00224,2025-12-21,SAC,"Fiz uma compra ontem mas me arrependi, como faço pra estornar no cartão?",Cartão de Crédito,Aberta
REC-2026-00225,2025-12-30,SAC,Fui cobrado duas vezes na fatura do cartão e ninguém resolve...,Cartão de Crédito,Em análise
REC-2026-00226,2026-03-08,SAC,a taxa de juros do meu empréstimo veio diferente do que foi combinado pelo gerente.,Empréstimo,Em análise
REC-2026-00227,2026-03-26,SAC,Fui resgatar meu fundo de investimento e o dinheiro sumiu. Onde foi parar???,Investimentos,Resolvida
REC-2026-00228,2026-02-17,Ouvidoria,"nao sei o que ta acontecendo, mas meu saldo sumiu.",,Aberta
REC-2026-00229,2025-12-24,Banco Central,"Fui mal tratado pelo gerente da agencia, quero formalizar uma reclamacao.",,Resolvida
REC-2026-00230,2026-02-21,Banco Central,"aprovaram uma compra de r$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Em análise
REC-2026-00231,2026-02-01,Redes Sociais,"meu saldo tá negativo mas eu não usei o cheque especial, da uma olhada ai.",Conta Corrente,Em análise
REC-2026-00232,2026-03-12,Redes Sociais,"O aplicativo de vcs é horrivel, so trava toda vez que tem atualização.",,Em análise
REC-2026-00233,2025-12-03,SAC,Transferencia TED voltou a ser um caralho mesmo e me cobraram a taxa msm assim. Absurdo.,Conta Corrente,Aberta
REC-2026-00234,2026-02-23,Redes Sociais,Como faço para renegociar minha dívida de empréstimo?,Empréstimo,Resolvida
REC-2026-00235,2026-01-14,Ouvidoria,"Meu cartao foi clonado!!! Fizeram uma compra em dolar que nao reconheco, bloqueiem isso urgente.",Cartão de Crédito,Aberta
REC-2026-00236,2026-03-26,Banco Central,Como cancelo a renovação automática do seguro prestamista?,Seguros,Resolvida
REC-2026-00237,2026-03-12,Banco Central,Fui cobrado duas vezes na fatura do cartão e ninguém resolve...,Cartão de Crédito,Aberta
REC-2026-00238,2026-01-22,Banco Central,"Aprovaram uma compra de R$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Em análise
REC-2026-00239,2025-12-13,Redes Sociais,Alguém ligou se passando por funcionário de vcs pedindo meus dados.,,Resolvida
REC-2026-00240,2026-01-20,Redes Sociais,"A taxa de anuidade veio absurda, quero cancelar meu cartao de credito.",Cartão de Crédito,Resolvida
REC-2026-00241,2026-03-03,Ouvidoria,"Estao me cobrando por um emprestimo que eu NUNCA fiz, roubaram meus dados!!!",Empréstimo,Em análise
REC-2026-00242,2026-02-03,Ouvidoria,"Fiz uma compra ontem mas me arrependi, como faço pra estornar no cartão?",Cartão de Crédito,Aberta
REC-2026-00243,2026-01-16,Redes Sociais,Fui resgatar meu fundo de investimento e o dinheiro sumiu. Onde foi parar???,Investimentos,Aberta
REC-2026-00244,2026-03-09,Banco Central,A taxa de juros do meu empréstimo veio diferente do que foi combinado pelo gerente.,Empréstimo,Em análise
REC-2026-00245,2026-02-19,Redes Sociais,"meu saldo tá negativo mas eu não usei o cheque especial, da uma olhada ai.",Conta Corrente,Em análise
REC-2026-00246,2026-03-31,SAC,Solicitei um aumento de limite e até agora nenhuma resposta. PÉSSIMO serviço.,Cartão de Crédito,Em análise
REC-2026-00247,2026-03-11,Banco Central,"O cartao fisico ainda nao chegou na minha casa, ja faz 1 mes.",Cartão de Crédito,Em análise
REC-2026-00248,2026-03-28,SAC,"Bloquearam minha conta do nada, preciso pagar minhas contas, que absurdo! Vou processar.",Conta Corrente,Em análise
REC-2026-00249,2025-12-03,SAC,"Fiz uma compra ontem mas me arrependi, como faço pra estornar no cartão?",Cartão de Crédito,Resolvida
REC-2026-00250,2026-01-15,Redes Sociais,"O rendimento do meu CDB ta errado, não bate com o CDI.",Investimentos,Em análise
REC-2026-00251,2026-02-11,SAC,"Vou reclamar no procon, banco lixo, nao resolvem nada.",,Em análise
REC-2026-00252,2026-01-02,Redes Sociais,Cobrança de tarifa de manutenção de conta que eu nao contratei. Exijo estorno.,Conta Corrente,Aberta
REC-2026-00253,2026-03-17,Ouvidoria,Fizeram um saque indevido na minha conta ontem a noite. Socorro!!,Conta Corrente,Aberta
REC-2026-00254,2025-12-28,Banco Central,"Acionei o seguro do carro e a franquia ta um roubo, propaganda enganosa.",Seguros,Aberta
REC-2026-00255,2026-01-05,SAC,Fui resgatar meu fundo de investimento e o dinheiro sumiu. Onde foi parar???,Investimentos,Em análise
REC-2026-00256,2026-02-25,Redes Sociais,Cobrança de tarifa de manutenção de conta que eu nao contratei. Exijo estorno.,Conta Corrente,Aberta
REC-2026-00257,2026-03-22,Banco Central,"fiz uma compra ontem mas me arrependi, como faço pra estornar no cartão?",Cartão de Crédito,Em análise
REC-2026-00258,2026-03-30,SAC,"Aprovaram uma compra de R$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Resolvida
REC-2026-00259,2026-03-10,Banco Central,"Bloquearam minha conta do nada, preciso pagar minhas contas, que absurdo! Vou processar.",Conta Corrente,Resolvida
REC-2026-00260,2026-02-26,Redes Sociais,"O rendimento do meu CDB ta errado, não bate com o CDI.",Investimentos,Resolvida
REC-2026-00261,2026-01-14,Redes Sociais,Nao estou conseguindo fazer login na minha conta corrente pelo site.,Conta Corrente,Em análise
REC-2026-00262,2025-12-20,Banco Central,"O cartao fisico ainda nao chegou na minha casa, ja faz 1 mes.",Cartão de Crédito,Resolvida
REC-2026-00263,2026-01-04,SAC,Nao estou conseguindo fazer login na minha conta corrente pelo site.,Conta Corrente,Resolvida
REC-2026-00264,2025-12-10,Redes Sociais,"O rendimento do meu CDB ta errado, não bate com o CDI.",Investimentos,Aberta
REC-2026-00265,2026-02-24,Redes Sociais,"Demora na aprovacao do emprestimo, ja mandei todos os documentos tem semanas.",Empréstimo,Resolvida
REC-2026-00266,2026-01-28,SAC,Fizeram um saque indevido na minha conta ontem a noite. Socorro!!,Conta Corrente,Aberta
REC-2026-00267,2025-12-03,Ouvidoria,"o aplicativo de vcs é horrivel, so trava toda vez que tem atualização.",,Em análise
REC-2026-00268,2026-01-18,Banco Central,"Acionei o seguro do carro e a franquia ta um roubo, propaganda enganosa.",Seguros,Em análise
REC-2026-00269,2026-02-10,Banco Central,"Quero transferir minha custodia pra outra corretora, ninguem me ajuda.",Investimentos,Resolvida
REC-2026-00270,2026-01-13,Ouvidoria,"O pix que eu fiz nao caiu na conta do recebedor, sumiu meu dinheiro!",Conta Corrente,Resolvida
REC-2026-00271,2025-12-15,Ouvidoria,mandei email pra ouvidoria e fui ignorada com sucesso. parabéns.,,Em análise
REC-2026-00272,2026-01-20,Redes Sociais,"nao consigo acessar minha fatura pelo app, da erro sempre. arrumem logo.",Cartão de Crédito,Aberta
REC-2026-00273,2025-12-02,Redes Sociais,"Meu cartao foi clonado!!! Fizeram uma compra em dolar que nao reconheco, bloqueiem isso urgente.",Cartão de Crédito,Em análise
REC-2026-00274,2025-12-06,Redes Sociais,Fiz um acordo de renegociação mas o boleto não chegou no meu email.,Empréstimo,Em análise
REC-2026-00275,2026-03-13,Ouvidoria,"Nao sei o que ta acontecendo, mas meu saldo sumiu.",,Em análise
REC-2026-00276,2026-03-27,Banco Central,"Fiz uma compra ontem mas me arrependi, como faço pra estornar no cartão?",Cartão de Crédito,Aberta
REC-2026-00277,2025-12-01,Redes Sociais,Transferencia TED voltou e me cobraram a taxa msm assim. Absurdo.,Conta Corrente,Em análise
REC-2026-00278,2026-03-25,Banco Central,"demora pra liberar o sinistro do seguro, já enviei os bos.",Seguros,Aberta
REC-2026-00279,2026-03-26,Banco Central,"bloquearam minha conta do nada, preciso pagar minhas contas, que absurdo! vou processar.",Conta Corrente,Aberta
REC-2026-00280,2026-02-17,Banco Central,"Fiz uma compra ontem mas me arrependi, como faço pra estornar no cartão?",Cartão de Crédito,Aberta
REC-2026-00281,2025-12-15,Ouvidoria,"meu cartao foi clonado!!! fizeram uma compra em dolar que nao reconheco, bloqueiem isso urgente.",Cartão de Crédito,Resolvida
REC-2026-00282,2026-02-06,Banco Central,"Aprovaram uma compra de R$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Em análise
REC-2026-00283,2026-03-19,Ouvidoria,"Demora na aprovacao do emprestimo, ja mandei todos os documentos tem semanas.",Empréstimo,Resolvida
REC-2026-00284,2026-02-16,Banco Central,Alguém ligou se passando por funcionário de vcs pedindo meus dados.,,Resolvida
REC-2026-00285,2026-02-12,Banco Central,"Aprovaram uma compra de R$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Em análise
REC-2026-00286,2026-01-14,Redes Sociais,"Quero transferir minha custodia pra outra corretora, ninguem me ajuda.",Investimentos,Resolvida
REC-2026-00287,2026-02-07,Redes Sociais,Cobrança de tarifa de manutenção de conta que eu nao contratei. Exijo estorno.,Conta Corrente,Resolvida
REC-2026-00288,2026-01-20,Ouvidoria,Gostaria de mudar minha conta para pacote essencial gratuito.,Conta Corrente,Resolvida
REC-2026-00289,2026-03-06,Banco Central,"Aprovaram uma compra de R$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Em análise
REC-2026-00290,2026-02-28,Ouvidoria,"A taxa de anuidade veio absurda, quero cancelar meu cartao de credito.",Cartão de Crédito,Resolvida
REC-2026-00291,2026-03-29,Ouvidoria,Fizeram um saque indevido na minha conta ontem a noite. Socorro!!,Conta Corrente,Resolvida
REC-2026-00292,2026-02-10,SAC,"Meu saldo tá negativo mas eu não usei o cheque especial, da uma olhada ai.",Conta Corrente,Aberta
REC-2026-00293,2026-03-21,Banco Central,Fui cobrado duas vezes na fatura do cartão e ninguém resolve...,Cartão de Crédito,Em análise
REC-2026-00294,2026-01-17,Redes Sociais,A taxa de juros do meu empréstimo veio diferente do que foi combinado pelo gerente.,Empréstimo,Aberta
REC-2026-00295,2026-02-26,Ouvidoria,"bloquearam minha conta do nada, preciso pagar minhas contas, que absurdo! vou processar.",Conta Corrente,Resolvida
REC-2026-00296,2025-12-11,Ouvidoria,"nao consigo acessar minha fatura pelo app, da erro sempre. arrumem logo.",Cartão de Crédito,Resolvida
REC-2026-00297,2026-03-19,SAC,Estao descontando um seguro de vida da minha conta sem minha autorização!!,Seguros,Resolvida
REC-2026-00298,2026-03-17,Ouvidoria,Gostaria de mudar minha conta para pacote essencial gratuito.,Conta Corrente,Aberta
REC-2026-00299,2026-02-27,Redes Sociais,Nao estou conseguindo fazer login na minha conta corrente pelo site.,Conta Corrente,Em análise
REC-2026-00300,2025-12-23,Ouvidoria,"O pix que eu fiz nao caiu na conta do recebedor, sumiu meu dinheiro!",Conta Corrente,Em análise
REC-2026-00301,2026-03-23,SAC,"Home broker travou bem na hora que eu ia vender as ações, tive prejuízo!!!",Investimentos,Em análise
REC-2026-00302,2026-02-13,SAC,"o rendimento do meu cdb ta errado, não bate com o cdi.",Investimentos,Aberta
REC-2026-00303,2026-03-24,SAC,Nao estou conseguindo fazer login na minha conta corrente pelo site.,Conta Corrente,Em análise
REC-2026-00304,2026-02-07,SAC,A taxa de juros do meu empréstimo veio diferente do que foi combinado pelo gerente.,Empréstimo,Em análise
REC-2026-00305,2025-12-05,SAC,"Fiz uma compra ontem mas me arrependi, como faço pra estornar no cartão?",Cartão de Crédito,Aberta
REC-2026-00306,2026-03-03,Banco Central,"Bloquearam minha conta do nada, preciso pagar minhas contas, que absurdo! Vou processar.",Conta Corrente,Em análise
REC-2026-00307,2026-01-30,Redes Sociais,Como faço para renegociar minha dívida de empréstimo?,Empréstimo,Em análise
REC-2026-00308,2025-12-19,Redes Sociais,Fui cobrado duas vezes na fatura do cartão e ninguém resolve...,Cartão de Crédito,Resolvida
REC-2026-00309,2026-01-22,SAC,"O pix que eu fiz nao caiu na conta do recebedor, sumiu meu dinheiro!",Conta Corrente,Resolvida
REC-2026-00310,2026-02-01,Redes Sociais,solicitei um aumento de limite e até agora nenhuma resposta. péssimo serviço.,Cartão de Crédito,Aberta
REC-2026-00311,2026-01-31,Banco Central,"Bloquearam minha conta do nada, preciso pagar minhas contas, que absurdo! Vou processar.",Conta Corrente,Aberta
REC-2026-00312,2025-12-30,Redes Sociais,Gostaria de mudar minha conta para pacote essencial gratuito.,Conta Corrente,Em análise
REC-2026-00313,2025-12-02,Redes Sociais,"meu saldo tá negativo mas eu não usei o cheque especial, da uma olhada ai.",Conta Corrente,Aberta
REC-2026-00314,2026-01-22,Ouvidoria,Gostaria de mudar minha conta para pacote essencial gratuito.,Conta Corrente,Resolvida
REC-2026-00315,2026-01-17,Ouvidoria,"Demora na aprovacao do emprestimo, ja mandei todos os documentos tem semanas.",Empréstimo,Em análise
REC-2026-00316,2026-03-07,SAC,"A taxa de anuidade veio absurda, quero cancelar meu cartao de credito.",Cartão de Crédito,Em análise
REC-2026-00317,2026-01-04,Redes Sociais,Fizeram um saque indevido na minha conta ontem a noite. Socorro!!,Conta Corrente,Aberta
REC-2026-00318,2026-02-08,Redes Sociais,"Minha senha foi bloqueada e eu to no exterior, que inferno de banco!!",,Em análise
REC-2026-00319,2026-03-08,Banco Central,Fui resgatar meu fundo de investimento e o dinheiro sumiu. Onde foi parar???,Investimentos,Aberta
REC-2026-00320,2026-02-16,SAC,"A taxa de anuidade veio absurda, quero cancelar meu cartao de credito.",Cartão de Crédito,Aberta
REC-2026-00321,2026-01-21,Redes Sociais,solicitei um aumento de limite e até agora nenhuma resposta. péssimo serviço.,Cartão de Crédito,Resolvida
REC-2026-00322,2025-12-22,Banco Central,Fizeram um saque indevido na minha conta ontem a noite. Socorro!!,Conta Corrente,Aberta
REC-2026-00323,2026-02-24,Redes Sociais,Solicitei um aumento de limite e até agora nenhuma resposta. PÉSSIMO serviço.,Cartão de Crédito,Resolvida
REC-2026-00324,2025-12-02,Ouvidoria,"Fiz uma compra ontem mas me arrependi, como faço pra estornar no cartão?",Cartão de Crédito,Resolvida
REC-2026-00325,2026-03-28,Redes Sociais,Gostaria de mudar minha conta para pacote essencial gratuito.,Conta Corrente,Resolvida
REC-2026-00326,2026-03-31,Ouvidoria,"Aprovaram uma compra de R$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Em análise
REC-2026-00327,2026-01-12,Redes Sociais,Fui cobrado duas vezes na fatura do cartão e ninguém resolve...,Cartão de Crédito,Aberta
REC-2026-00328,2025-12-27,Ouvidoria,A taxa de juros do meu empréstimo veio diferente do que foi combinado pelo gerente.,Empréstimo,Aberta
REC-2026-00329,2026-03-16,SAC,Fizeram um saque indevido na minha conta ontem a noite. Socorro!!,Conta Corrente,Resolvida
REC-2026-00330,2026-01-05,SAC,"Minha senha foi bloqueada e eu to no exterior, que inferno de banco!!",,Aberta
REC-2026-00331,2025-12-19,Banco Central,"Péssimo atendimento no SAC, fiquei 40 minutos esperando e a ligação caiu.",,Aberta
REC-2026-00332,2025-12-29,SAC,Solicitei um aumento de limite e até agora nenhuma resposta. PÉSSIMO serviço.,Cartão de Crédito,Aberta
REC-2026-00333,2026-02-05,Banco Central,"Demora na aprovacao do emprestimo, ja mandei todos os documentos tem semanas.",Empréstimo,Em análise
REC-2026-00334,2025-12-04,Banco Central,"home broker travou bem na hora que eu ia vender as ações, tive prejuízo!!!",Investimentos,Resolvida
REC-2026-00335,2026-02-26,Ouvidoria,"O pix que eu fiz nao caiu na conta do recebedor, sumiu meu dinheiro!",Conta Corrente,Em análise
REC-2026-00336,2026-01-12,Redes Sociais,"Aprovaram uma compra de R$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Aberta
REC-2026-00337,2026-02-03,Ouvidoria,Fui resgatar meu fundo de investimento e o dinheiro sumiu. Onde foi parar???,Investimentos,Aberta
REC-2026-00338,2026-02-24,Banco Central,"O cartao fisico ainda nao chegou na minha casa, ja faz 1 mes.",Cartão de Crédito,Em análise
REC-2026-00339,2026-03-02,Banco Central,nao estou conseguindo fazer login na minha conta corrente pelo site.,Conta Corrente,Resolvida
REC-2026-00340,2026-02-17,Ouvidoria,Nao estou conseguindo fazer login na minha conta corrente pelo site.,Conta Corrente,Em análise
REC-2026-00341,2026-02-11,Ouvidoria,Gostaria de mudar minha conta para pacote essencial gratuito.,Conta Corrente,Resolvida
REC-2026-00342,2026-03-06,Ouvidoria,Como cancelo a renovação automática do seguro prestamista?,Seguros,Aberta
REC-2026-00343,2026-02-20,Redes Sociais,"Demora na aprovacao do emprestimo, ja mandei todos os documentos tem semanas.",Empréstimo,Resolvida
REC-2026-00344,2025-12-17,Redes Sociais,"Bloquearam minha conta do nada, preciso pagar minhas contas, que absurdo! Vou processar.",Conta Corrente,Resolvida
REC-2026-00345,2026-01-19,Ouvidoria,"Minha senha foi bloqueada e eu to no exterior, que inferno de banco!!",,Em análise
REC-2026-00346,2025-12-31,SAC,"acionei o seguro do carro e a franquia ta um roubo, propaganda enganosa.",Seguros,Em análise
REC-2026-00347,2026-03-28,Ouvidoria,Fiz um acordo de renegociação mas o boleto não chegou no meu email.,Empréstimo,Resolvida
REC-2026-00348,2026-03-15,Banco Central,"nao consigo acessar minha fatura pelo app, da erro sempre. arrumem logo.",Cartão de Crédito,Resolvida
REC-2026-00349,2025-12-11,Redes Sociais,"nao consigo acessar minha fatura pelo app, da erro sempre. arrumem logo.",Cartão de Crédito,Em análise
REC-2026-00350,2025-12-29,Redes Sociais,"quero antecipar as parcelas do meu emprestimo mas o sac nao me atende, fico horas na linha.",Empréstimo,Aberta
REC-2026-00351,2026-01-12,Ouvidoria,Como faço para renegociar minha dívida de empréstimo?,Empréstimo,Aberta
REC-2026-00352,2026-01-12,SAC,"o aplicativo de vcs é horrivel, so trava toda vez que tem atualização.",,Resolvida
REC-2026-00353,2025-12-22,Redes Sociais,"nao sei o que ta acontecendo, mas meu saldo sumiu.",,Aberta
REC-2026-00354,2025-12-16,SAC,"Péssimo atendimento no SAC, fiquei 40 minutos esperando e a ligação caiu.",,Em análise
REC-2026-00355,2026-03-10,Banco Central,Solicitei um aumento de limite e até agora nenhuma resposta. PÉSSIMO serviço.,Cartão de Crédito,Aberta
REC-2026-00356,2026-01-31,Banco Central,"aprovaram uma compra de r$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Em análise
REC-2026-00357,2026-02-10,SAC,"Meu cartao foi clonado!!! Fizeram uma compra em dolar que nao reconheco, bloqueiem isso urgente.",Cartão de Crédito,Aberta
REC-2026-00358,2025-12-26,SAC,"Aprovaram uma compra de R$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Aberta
REC-2026-00359,2026-01-31,Banco Central,cobrança de tarifa de manutenção de conta que eu nao contratei. exijo estorno.,Conta Corrente,Aberta
REC-2026-00360,2026-01-25,Banco Central,"Quero antecipar as parcelas do meu emprestimo mas o sac nao me atende, fico horas na linha.",Empréstimo,Resolvida
REC-2026-00361,2025-12-01,Ouvidoria,"Home broker travou bem na hora que eu ia vender as ações, tive prejuízo!!!",Investimentos,Aberta
REC-2026-00362,2025-12-24,Banco Central,"nao consigo acessar minha fatura pelo app, da erro sempre. arrumem logo.",Cartão de Crédito,Aberta
REC-2026-00363,2026-02-24,Ouvidoria,"O pix que eu fiz nao caiu na conta do recebedor, sumiu meu dinheiro!",Conta Corrente,Resolvida
REC-2026-00364,2026-03-30,Ouvidoria,Fui resgatar meu fundo de investimento e o dinheiro sumiu. Onde foi parar???,Investimentos,Resolvida
REC-2026-00365,2025-12-10,Redes Sociais,Como cancelo a renovação automática do seguro prestamista?,Seguros,Aberta
REC-2026-00366,2026-01-11,Banco Central,fui cobrado duas vezes na fatura do cartão e ninguém resolve...,Cartão de Crédito,Em análise
REC-2026-00367,2025-12-17,SAC,"Meu cartao foi clonado!!! Fizeram uma compra em dolar que nao reconheco, bloqueiem isso urgente.",Cartão de Crédito,Resolvida
REC-2026-00368,2026-02-28,Banco Central,"nao sei o que ta acontecendo, mas meu saldo sumiu.",,Em análise
REC-2026-00369,2025-12-28,Redes Sociais,"Estao me cobrando por um emprestimo que eu NUNCA fiz, roubaram meus dados!!!",Empréstimo,Aberta
REC-2026-00370,2026-02-28,Redes Sociais,"O rendimento do meu CDB ta errado, não bate com o CDI.",Investimentos,Em análise
REC-2026-00371,2026-01-29,Ouvidoria,"fiz uma compra ontem mas me arrependi, como faço pra estornar no cartão?",Cartão de Crédito,Em análise
REC-2026-00372,2026-03-30,Banco Central,"Quero transferir minha custodia pra outra corretora, ninguem me ajuda.",Investimentos,Resolvida
REC-2026-00373,2025-12-16,Banco Central,Transferencia TED voltou e me cobraram a taxa msm assim. Absurdo.,Conta Corrente,Em análise
REC-2026-00374,2026-02-27,Redes Sociais,"a taxa de anuidade veio absurda, quero cancelar meu cartao de credito.",Cartão de Crédito,Em análise
REC-2026-00375,2025-12-07,Redes Sociais,"vou reclamar no procon, banco lixo, nao resolvem nada.",,Resolvida
REC-2026-00376,2025-12-24,Ouvidoria,"Fui mal tratado pelo gerente da agencia, quero formalizar uma reclamacao.",,Aberta
REC-2026-00377,2026-03-19,Banco Central,"O pix que eu fiz nao caiu na conta do recebedor, sumiu meu dinheiro!",Conta Corrente,Aberta
REC-2026-00378,2025-12-14,Redes Sociais,Fui resgatar meu fundo de investimento e o dinheiro sumiu. Onde foi parar???,Investimentos,Em análise
REC-2026-00379,2026-03-25,Banco Central,Alguém ligou se passando por funcionário de vcs pedindo meus dados.,,Resolvida
REC-2026-00380,2026-01-08,Banco Central,"Demora pra liberar o sinistro do seguro, já enviei os BOs.",Seguros,Em análise
REC-2026-00381,2026-02-15,Redes Sociais,Solicitei um aumento de limite e até agora nenhuma resposta. PÉSSIMO serviço.,Cartão de Crédito,Aberta
REC-2026-00382,2026-03-23,Redes Sociais,"Demora na aprovacao do emprestimo, ja mandei todos os documentos tem semanas.",Empréstimo,Resolvida
REC-2026-00383,2025-12-10,Banco Central,"nao consigo acessar minha fatura pelo app, da erro sempre. arrumem logo.",Cartão de Crédito,Aberta
REC-2026-00384,2026-03-14,SAC,"meu cartao foi clonado!!! fizeram uma compra em dolar que nao reconheco, bloqueiem isso urgente.",Cartão de Crédito,Resolvida
REC-2026-00385,2026-01-18,Banco Central,Como faço para renegociar minha dívida de empréstimo?,Empréstimo,Resolvida
REC-2026-00386,2026-03-20,Ouvidoria,Transferencia TED voltou e me cobraram a taxa msm assim. Absurdo.,Conta Corrente,Aberta
REC-2026-00387,2025-12-21,SAC,"Quero antecipar as parcelas do meu emprestimo mas o sac nao me atende, fico horas na linha.",Empréstimo,Resolvida
REC-2026-00388,2025-12-18,Banco Central,Gostaria de mudar minha conta para pacote essencial gratuito.,Conta Corrente,Aberta
REC-2026-00389,2025-12-07,Banco Central,"O pix que eu fiz nao caiu na conta do recebedor, sumiu meu dinheiro!",Conta Corrente,Em análise
REC-2026-00390,2026-02-19,Banco Central,"O aplicativo de vcs é horrivel, so trava toda vez que tem atualização.",,Em análise
REC-2026-00391,2026-03-23,SAC,Solicitei um aumento de limite e até agora nenhuma resposta. PÉSSIMO serviço.,Cartão de Crédito,Resolvida
REC-2026-00392,2026-02-03,Banco Central,"Fui mal tratado pelo gerente da agencia, quero formalizar uma reclamacao.",,Resolvida
REC-2026-00393,2026-01-15,SAC,A taxa de juros do meu empréstimo veio diferente do que foi combinado pelo gerente.,Empréstimo,Resolvida
REC-2026-00394,2025-12-25,Redes Sociais,"Meu cartao foi clonado!!! Fizeram uma compra em dolar que nao reconheco, bloqueiem isso urgente.",Cartão de Crédito,Resolvida
REC-2026-00395,2026-02-28,Ouvidoria,"Aprovaram uma compra de R$ 5.000 de madrugada, isso é fraude óbvia e vocês não bloquearam!",Cartão de Crédito,Em análise
REC-2026-00396,2025-12-28,SAC,Solicitei um aumento de limite e até agora nenhuma resposta. PÉSSIMO serviço.,Cartão de Crédito,Em análise
REC-2026-00397,2026-02-02,Redes Sociais,Fizeram um saque indevido na minha conta ontem a noite. Socorro!!,Conta Corrente,Aberta
REC-2026-00398,2026-03-18,SAC,Fui cobrado duas vezes na fatura do cartão e ninguém resolve...,Cartão de Crédito,Em análise
REC-2026-00399,2025-12-04,SAC,"Acionei o seguro do carro e a franquia ta um roubo, propaganda enganosa.",Seguros,Em análise
REC-2026-00400,2025-12-27,Banco Central,"O rendimento do meu CDB ta errado, não bate com o CDI.",Investimentos,Resolvida
REC-2026-00401,2026-03-02,Ouvidoria,A taxa de juros do meu empréstimo veio diferente do que foi combinado pelo gerente.,Empréstimo,Aberta
REC-2026-00402,2026-02-11,SAC,Fui cobrado duas vezes na fatura do cartão e ninguém resolve...,Cartão de Crédito,Resolvida
REC-2026-00403,2026-02-14,SAC,"Meu cartao foi clonado!!! Fizeram uma compra em dolar que nao reconheco, bloqueiem isso urgente.",Cartão de Crédito,Resolvida
REC-2026-00404,2025-12-13,Redes Sociais,"O cartao fisico ainda nao chegou na minha casa, ja faz 1 mes.",Cartão de Crédito,Em análise
REC-2026-00405,2026-02-18,Ouvidoria,Nao estou conseguindo fazer login na minha conta corrente pelo site.,Conta Corrente,Aberta
